,year,Sint Maarten (Dutch part),Not classified,West Bank and Gaza,Serbia,Cambodia,United Arab Emirates,Cyprus,Lower middle income,Maldives,Low income,Peru,Early-demographic dividend,Fiji,Chad,Middle East & North Africa (excluding high income),Middle East & North Africa (IDA & IBRD countries),World,Saudi Arabia,Dominican Republic,Kenya,"Venezuela, RB",Canada,Guinea,Pakistan,Latvia,Denmark,"Hong Kong SAR, China",Nauru,Qatar,United States,Europe & Central Asia (IDA & IBRD countries),Brazil,Nigeria,"Yemen, Rep.",North Macedonia,Namibia,Rwanda,Least developed countries: UN classification,Central Europe and the Baltics,Cabo Verde,Brunei Darussalam,Philippines,Palau,Sri Lanka,Sao Tome and Principe,Haiti,Pacific island small states,China,Germany,St. Martin (French part),Faroe Islands,Norway,Small states,Ireland,Tanzania,Bhutan,Kosovo,Zambia,Europe & Central Asia (excluding high income),Isle of Man,Guatemala,Oman,Tunisia,Singapore,South Africa,Finland,Montenegro,Pre-demographic dividend,Bosnia and Herzegovina,Sierra Leone,Barbados,Middle East & North Africa,East Asia & Pacific (IDA & IBRD countries),Marshall Islands,San Marino,Syrian Arab Republic,Nicaragua,Poland,Fragile and conflict affected situations,Grenada,Slovenia,St. Vincent and the Grenadines,Mexico,Morocco,Angola,Samoa,Cameroon,Thailand,Vietnam,Solomon Islands,Japan,Niger,Senegal,Costa Rica,Albania,St. Lucia,Andorra,South Asia (IDA & IBRD),South Asia,South Sudan,Azerbaijan,East Asia & Pacific (excluding high income),Equatorial Guinea,Honduras,IDA & IBRD total,Burkina Faso,Jamaica,Dominica,Trinidad and Tobago,Channel Islands,Burundi,Liechtenstein,Afghanistan,Madagascar,Ethiopia,Paraguay,"Macao SAR, China",Belarus,British Virgin Islands,Bermuda,Mongolia,Other small states,High income,Luxembourg,Austria,Antigua and Barbuda,Portugal,Mali,Arab World,Bahrain,"Congo, Dem. Rep.",Colombia,Gibraltar,Australia,Chile,Suriname,United Kingdom,Moldova,Cuba,Somalia,Late-demographic dividend,Benin,IDA total,Tajikistan,Tonga,Kyrgyz Republic,"Congo, Rep.",Lebanon,Upper middle income,Estonia,Middle income,Comoros,Europe & Central Asia,Uruguay,Italy,Croatia,Caribbean small states,"Korea, Rep.",Lesotho,Malta,Mauritius,East Asia & Pacific,New Caledonia,Low & middle income,North America,Curacao,American Samoa,Indonesia,Iraq,Belize,Georgia,Timor-Leste,OECD members,Netherlands,Russian Federation,Latin America & Caribbean (excluding high income),Zimbabwe,Sudan,Guyana,"Korea, Dem. People’s Rep.",Ecuador,Post-demographic dividend,Djibouti,Monaco,Guam,Lithuania,Cayman Islands,Turkmenistan,Malaysia,"Egypt, Arab Rep.",Turks and Caicos Islands,Bangladesh,Gabon,Liberia,Cote d'Ivoire,Lao PDR,IDA blend,Aruba,IDA only,Panama,Eswatini,Sub-Saharan Africa,Sub-Saharan Africa (IDA & IBRD countries),Algeria,Guinea-Bissau,Armenia,Vanuatu,Tuvalu,Ukraine,Greece,Malawi,Mauritania,Belgium,Switzerland,Heavily indebted poor countries (HIPC),Czech Republic,Iceland,Latin America & the Caribbean (IDA & IBRD countries),New Zealand,Spain,Turkey,Latin America & Caribbean,Botswana,Nepal,Uzbekistan,European Union,Ghana,"Bahamas, The",Euro area,Hungary,India,IBRD only,Libya,Togo,"Iran, Islamic Rep.","Micronesia, Fed. Sts.",Kazakhstan,Sub-Saharan Africa (excluding high income),Israel,Seychelles,Central African Republic,Kuwait,France,Mozambique,Eritrea,Bulgaria,Jordan,Myanmar,Sweden,Puerto Rico,Kiribati,Papua New Guinea,Argentina,El Salvador,Virgin Islands (U.S.),Greenland,Uganda,"Gambia, The",Romania,Northern Mariana Islands,St. Kitts and Nevis,Bolivia,French Polynesia,Slovak Republic
0,1960,,,,,5722370,92418,572930,928490499,89863,158779911,10155015,980085256,393481,3001609,97553162,97553162,3032019978,4086539,3294224,8120080,8141841,17909009,3494162,44988690,2120979,4579603,3075605,4375,47384,180671000,308925209,72179226,45138458,5315355,1488667,634142,2935582,240518433,91401764,201765,81702,26269734,9771,9874476,64302,3866159,865072,667070000,72814900,3893,34615,3581239,14211639,2828600,10052152,223288,947000,3070776,275147578,48442,4210747,551740,4178236,1646400,17099840,4429634,480579,187617091,3225668,2317636,230980,105203269,883445573,14662,15432,4573512,1773129,29637450,120335436,89932,1584720,80977,37771859,12328532,5454933,108629,5176918,27397207,32670039,117849,92500572,3388764,3206749,1330782,1608800,89697,13411,572839523,572839523,2842724,3895397,894880101,255333,2038632,2299827560,4829288,1628520,60011,847979,109420,2797932,16493,8996973,5099373,22151278,1903982,167791,8198000,8048,44400,955505,9151857,760193906,313970,7047539,54131,8857716,5263733,92197753,162427,15248251,16057724,23420,10276477,8132990,287871,52400000,2544000,7141250,2755972,1097403781,2431622,383101576,2087049,61577,2172300,1018253,1804941,1184555662,1211537,2113046161,191121,667253650,2538643,50199700,4140181,4194710,25012374,837270,326550,659351,1040958103,79000,2271826072,198624409,124826,20123,87751068,7289760,92064,3645600,474532,791309222,11486631,119897000,204214185,3776681,7544491,571819,11424176,4543666,754514355,83636,22452,66742,2778550,7865,1603258,8156347,26632894,5824,48013504,500928,1118657,3503553,2120898,123891139,54211,259210437,1132997,336583,227233223,227233223,11057863,616136,1874121,63689,5323,42664652,8331725,3659984,850384,9153489,5327827,161734357,9602006,175574,209830870,2371800,30455000,27472345,219907801,502745,10105050,8526300,409306076,6635230,109534,265203934,9983967,450547679,1916725984,1448417,1580513,21906914,44514,9934563,227191523,2114020,41700,1501668,269029,46621669,7184869,1007590,7867374,933102,21736942,7484656,2358000,41202,2255859,20481779,2766324,32500,32500,6767095,365047,18406905,9979,51195,3656955,78076,4068095
1,1961,,,,,5872966,100796,576395,949753699,92325,162259865,10446620,1003279186,407249,3060368,100147129,100147129,3073077563,4218853,3406280,8377696,8439261,18271000,3552065,46065231,2152681,4611687,3168100,4632,51421,183691000,313575168,74311343,46063563,5393036,1507654,649279,2998325,246113640,92232738,205327,85562,27161047,10049,10111637,64602,3941944,893380,660330000,73377632,3989,35076,3609800,14483282,2824400,10346697,228851,966000,3164329,279443876,48281,4336143,564893,4238142,1702400,17524533,4461005,491140,191889701,3288603,2352363,231718,108061812,882807967,15051,15837,4721896,1829778,29964000,123102643,91327,1594131,82169,38966056,12710581,5531472,112105,5285017,28224187,33666110,121378,94943000,3486326,3295278,1381183,1659800,90716,14375,584939726,584939726,2895605,4030322,894484115,258791,2096409,2329751232,4894580,1651073,61032,864818,110399,2852438,16893,9169410,5223568,22671191,1954548,170462,8271216,8167,45500,982178,9315842,771546780,316845,7086299,55001,8929316,5322266,94724510,167894,15637699,16567811,23813,10483000,8303811,295916,52800000,2605000,7291200,2814118,1099797275,2465867,392384865,2159134,63715,2255900,1043116,1864619,1189517219,1225077,2139270918,194139,674962981,2571681,50536350,4167292,4274060,25765673,852890,325250,680757,1044544622,81200,2301530783,202007500,126125,20602,90098394,7475350,94703,3703600,482854,803629386,11638712,121236000,209991788,3905034,7769482,589274,11665595,4674172,765311460,88498,22808,68072,2823550,8026,1658362,8417824,27366237,5874,49362843,505799,1142302,3631553,2170344,126858184,55438,265526681,1167113,343345,232567038,232567038,11336339,622761,1941492,65705,5335,43206345,8398050,3747753,875581,9183948,5434294,165573152,9586651,179029,215714204,2419700,30739250,28146910,225993884,512685,10267264,8813616,412798418,6848295,115121,267621101,10029321,459642165,1937366367,1498071,1597526,22480372,45932,10349414,232524149,2185000,42889,1526066,300576,47240543,7342111,1033328,7943118,973988,22211624,7519998,2399722,42229,2297059,20817266,2846600,34300,33700,6983818,372445,18555250,10245,51192,3728964,80706,4191667
2,1962,,,,,6028431,112118,577691,971742838,94905,165830670,10749466,1027290366,421665,3121236,102808053,102808053,3126066253,4362786,3521018,8647011,8742777,18614000,3611429,47198878,2181586,4647727,3305200,4944,56262,186538000,318268089,76514328,47029822,5473671,1527111,665115,3052936,251900741,93009498,210142,89481,28077339,10317,10352179,64479,4019173,923306,665770000,74025784,4076,35524,3638918,14762138,2836050,10651962,234554,994000,3260650,283762877,48418,4464249,578823,4305481,1750200,17965725,4491443,502558,196349224,3353226,2388769,232633,111045434,894536179,15547,16255,4875422,1887425,30308500,125989185,92484,1603649,83237,40195319,13094888,5608539,115776,5398729,29080938,34683407,125040,95832000,3588228,3386806,1433335,1711319,91891,15370,597494449,597494449,2951043,4171426,906418827,262219,2155647,2372990360,4960326,1676501,61982,879441,111457,2907321,17289,9351441,5352503,23221389,2006670,176183,8351928,8310,46600,1011324,9485204,781558432,320750,7129864,55841,8993985,5381368,97334442,173144,16041190,17092918,24313,10742000,8476897,303895,53250000,2664000,7453540,2874218,1114451802,2502896,402037098,2236574,66235,2333400,1069238,1925297,1206934313,1241623,2178677151,197198,682921730,2603882,50879450,4196712,4353628,26513030,869136,323900,700349,1059018809,83400,2344507821,205198600,128414,21253,92518377,7674220,97384,3760300,491571,814576858,11805689,122591000,215945959,4039201,8004121,606285,11871712,4809201,774755029,94204,23039,69604,2863350,8146,1715408,8692342,28112256,5884,50752157,511287,1166648,3770766,2221125,129965147,56225,272071951,1202449,350156,238121698,238121698,11619828,628883,2009526,67794,5340,43752230,8448233,3839043,901686,9220578,5573815,169567094,9624660,182378,221761892,2482000,31023366,28832827,232265533,523778,10433145,9113620,416450473,7071971,121091,270110056,10061734,469077190,1970953262,1550813,1612755,23071315,47367,10756928,238077656,2293000,44042,1551910,337348,47904877,7507303,1060486,8012946,1010658,22697667,7561588,2450322,43281,2340352,21153052,2931192,35000,35000,7215796,379894,18676550,10436,50963,3802990,83655,4238188
3,1963,,,,,6183584,125130,577913,994420244,97551,169529568,11062300,1052059966,436293,3183572,105546273,105546273,3191186048,4516533,3638109,8928511,9052635,18964000,3672556,48387301,2210919,4684483,3420900,5275,61716,189242000,323037300,78772657,48032934,5556766,1547450,681637,3105419,257908074,93840016,216096,93540,29012625,10569,10597511,64231,4097755,954111,682335000,74714353,4183,35969,3666537,15045773,2852650,10968195,240523,1022000,3360104,288099625,48800,4595510,593504,4380068,1795000,18423161,4523309,513409,200997724,3417574,2426857,233630,114101592,917563055,16114,16679,5034646,1946234,30712000,128998464,93413,1616971,84198,41462369,13478423,5679458,119559,5518104,29966865,35721217,128838,96812000,3693980,3481654,1486553,1762621,93211,16412,610498327,610498327,3009062,4315127,929639988,266000,2216704,2428491489,5027821,1703651,62918,891944,112595,2964427,17719,9543205,5486319,23798430,2060339,184245,8437232,8476,47700,1042383,9659445,791500756,324100,7175811,56702,9030355,5441613,100034179,178140,16461830,17629979,24889,10950000,8650387,311947,53650000,2720000,7623294,2936477,1140424871,2542859,412078105,2318248,68981,2413700,1096638,1985001,1235735480,1258857,2230155724,200372,690946639,2635126,51252000,4225675,4432217,27261747,886057,322550,718861,1084796352,85700,2399685292,208253700,130860,22034,95015297,7888913,100164,3816100,500647,825495463,11965966,123960000,222052829,4178726,8248812,622575,12065468,4948986,784053801,100628,23168,71286,2898950,8227,1773853,8973788,28871383,5870,52202007,517580,1191802,3918628,2273351,133206225,56695,278871880,1238889,357292,243893426,243893426,11912803,635011,2077578,69946,5343,44288608,8479625,3933908,928734,9289770,5694247,173722855,9670685,185653,227953108,2531800,31296651,29531365,238696012,535685,10604621,9428906,420166491,7300116,127339,272655378,10087947,478825608,2016413384,1607171,1631764,23680258,48855,11147859,243848250,2379000,45176,1579370,378746,48582611,7679458,1088854,8078145,1050213,23198241,7604328,2504530,44338,2385946,21488912,3019224,39800,36400,7461634,387641,18797850,10590,50525,3879192,86847,4282017
4,1964,,,,,6331449,138039,578625,1017725630,100171,173410029,11383373,1077621038,450542,3246523,108376339,108376339,3256700083,4677298,3757132,9222692,9369096,19325000,3735916,49627623,2240623,4722072,3504600,5592,67566,191889000,327816760,81064571,49066760,5641597,1569142,698796,3164263,264174179,94715795,222948,97812,29958688,10799,10849975,64277,4177637,984823,698355000,75318337,4308,36406,3694339,15333405,2866550,11295681,246964,1050000,3463213,292424434,49391,4730540,608889,4461114,1841600,18896307,4548543,521753,205835453,3478997,2466667,234586,117271166,940205368,16710,17099,5200336,2006481,31139450,132146262,94123,1632114,85111,42771079,13857649,5735044,123342,5643036,30881138,36779999,132759,97826000,3802803,3580239,1539941,1814135,94636,17469,623943332,623943332,3069739,4456687,952499842,270618,2280048,2484475271,5098890,1730738,63926,902613,113773,3026290,18168,9744781,5625164,24397022,2115567,193561,8524224,8646,48900,1074514,9840384,801349486,327750,7223801,57641,9035365,5503752,102832760,182887,16903831,18175185,25479,11167000,8821858,320270,54000000,2774000,7793262,3001158,1165967060,2585965,422535100,2402477,71741,2495300,1125352,2041229,1264214938,1277086,2281940568,203753,698901133,2665388,51675350,4252876,4508198,27984155,903763,321250,736381,1110214377,88100,2455350597,211262900,133148,22854,97596733,8122197,103069,3870300,510034,836395330,12127120,125345000,228279229,4322861,8503994,637845,12282419,5093854,793187000,107583,23236,73051,2935200,8298,1833064,9253842,29644875,5848,53741716,524895,1217901,4071411,2327137,136575197,57032,285959903,1276331,365122,249873743,249873743,12221675,641812,2145001,72115,5356,44796964,8510429,4032371,956799,9378113,5789228,178048171,9727804,188983,234259729,2585400,31609195,30244261,245233432,547873,10783967,9762816,423850244,7524472,133709,275163387,10119835,488848135,2061940171,1667825,1662073,24307860,50468,11511847,249827421,2475000,46322,1608616,423898,49230595,7857104,1118159,8144340,1102399,23717788,7661354,2554066,45399,2434223,21824425,3109563,40800,37600,7719104,396011,18919126,10783,49931,3957757,90139,4327341
5,1965,,,,,6467197,149857,580966,1041611332,102718,177509185,11711392,1103954709,463968,3309586,111307812,111307812,3323623700,4843635,3877765,9530173,9692278,19678000,3801705,50917975,2265919,4759012,3597900,5856,73633,194303000,332408546,83373530,50127921,5727751,1592433,716584,3235531,270720892,95440988,230418,102386,30909988,11003,11110820,64892,4258732,1014638,715185000,75963695,4468,36847,3723168,15621028,2877300,11634832,253994,1078000,3570464,296682673,50141,4869716,625009,4547941,1886900,19384841,4563732,526327,210864985,3535643,2508219,235413,120541214,963806254,17284,17513,5373137,2068381,31444950,135443764,94636,1649160,86011,44123853,14230163,5770570,127054,5773543,31822660,37858951,136816,98883000,3914117,3682876,1592841,1864791,96134,18549,637823175,637823175,3133150,4592609,976366448,276300,2346015,2542065200,5174870,1756511,65038,911737,114995,3094379,18649,9956320,5769218,25013626,2172306,203228,8610000,8830,50100,1107124,10026016,810831993,331500,7270889,58698,8998595,5568484,105736431,187431,17369883,18725245,26073,11388000,8989621,328936,54348050,2825000,7958169,3068459,1192235073,2632356,433415761,2487976,74345,2573300,1155392,2092375,1293671190,1294566,2335282522,207424,706626086,2694536,52112350,4280923,4580374,28704674,922306,318800,753000,1136691455,90500,2512791707,214031100,135266,23672,100267062,8375790,106119,3921600,519686,846970817,12294732,126745000,234599288,4471177,8770097,651868,12547525,5243977,802029735,114963,23282,74830,2971450,8369,1892599,9526558,30433022,5823,55385112,533361,1245102,4226844,2382594,140066503,57360,293349258,1314677,373919,256059811,256059811,12550885,649790,2211319,74270,5386,45264548,8550333,4134460,985910,9463667,5856472,182548785,9779358,192286,240659602,2628400,31954292,30972994,251850859,559994,10972912,10116870,427380782,7739473,140059,277650957,10147935,499123324,2108649439,1733306,1708630,24954873,52227,11841920,256012311,2563000,47500,1639706,472037,49818028,8039215,1148189,8204168,1173606,24259359,7733853,2594000,46429,2485437,22159650,3201313,43500,39200,7986066,405259,19031576,11022,49214,4038872,93438,4370983
6,1966,,,,,6585035,159976,585309,1066074552,105136,181839891,12045787,1131050085,476404,3372189,114351833,114351833,3393699205,5015357,3999796,9851444,10022592,20048000,3870203,52260189,2283217,4797381,3629900,6067,79846,196560000,336269817,85696505,51217973,5816247,1617795,734867,3321679,277573029,96146336,238655,107274,31864182,11179,11380670,66183,4341318,1043386,735400000,76600311,4685,37278,3753012,15906032,2888800,11985440,261668,1106000,3681955,300278116,51049,5013153,642001,4641000,1934400,19888250,4580869,526419,216096098,3586636,2551578,236088,123908159,990927389,17842,17918,5553246,2131976,31681000,138901311,94934,1669905,86903,45519737,14595350,5781214,130673,5909882,32789130,38958048,140991,99790000,4027963,3789383,1645083,1914573,97715,19647,652144182,652144182,3199343,4721523,1003805626,283506,2414803,2603294258,5256363,1780518,66311,919217,116227,3170490,19152,10174836,5918595,25641044,2230741,213192,8696496,9025,51000,1139961,10214279,819708674,333895,7322066,59915,8930990,5635859,108758610,191780,17862049,19279740,26633,11651000,9152844,338158,54648500,2873000,8115487,3143648,1221252541,2682159,444758543,2574511,76771,2655300,1186785,2136617,1326076088,1308597,2392150640,211478,713395321,2722875,52519000,4310701,4648367,29435571,941794,315200,768813,1166600015,93500,2573990531,216659000,136682,24462,103025426,8651162,109347,3966700,529327,857049045,12456251,127468000,241005051,4623351,9047798,664521,12864954,5399422,810302158,122866,23305,76607,3008050,8441,1952141,9790084,31237600,5791,57157654,543112,1273464,4383728,2439196,143685944,57715,301072599,1353842,383826,262454422,262454422,12902627,658994,2276034,76395,5438,45684979,8613651,4240429,1016100,9527807,5918002,187227582,9821040,195570,247146615,2675900,32283194,31717507,258538106,571964,11172529,10493436,430687619,7941412,146382,279969040,10178653,509631500,2158535715,1803683,1774029,25624373,54192,12132559,262405723,2629000,48699,1673019,523166,50330262,8225921,1178875,8258057,1267062,24823940,7807797,2624995,47434,2539674,22494035,3293952,46200,40500,8263439,415478,19215450,11344,48358,4122517,96716,4411666
7,1967,,,,,6685960,169771,591308,1091126634,107478,186385902,12386879,1158974343,487981,3434825,117503859,117503859,3463147267,5195135,4123092,10187478,10359745,20412000,3941053,53655789,2301220,4835354,3722800,6223,86302,198712000,340266714,88035814,52342233,5907874,1644943,753688,3420895,284708409,97043270,247527,112448,32823968,11326,11657650,68047,4425303,1071175,754550000,76951336,4920,37705,3784539,16189727,2902450,12348189,269947,1135000,3797873,303940876,52118,5160609,660114,4740511,1977600,20406864,4605744,522796,221539671,3632672,2596805,236659,127444958,1017110646,18388,18307,5740710,2197298,31987155,142517806,95020,1689528,87777,46956208,14954031,5774243,134177,6052420,33778799,40072948,145317,100725000,4144592,3899644,1696732,1965598,99365,20758,666908582,666908582,3268405,4843868,1030347262,291790,2486415,2664582621,5343019,1803319,67686,925235,117474,3253218,19691,10399926,6073526,26280132,2290798,223418,8785648,9222,52000,1173191,10406026,827927262,334995,7376998,61241,8874520,5706199,111899364,196063,18378625,19837510,27173,11799000,9312095,347660,54943600,2918000,8266380,3227841,1249424428,2735307,456540723,2662253,79029,2736500,1219541,2174738,1357707469,1318946,2448834103,215897,719979928,2750086,52900500,4338683,4712526,30130983,962273,311550,783917,1195269923,96500,2635220005,219176000,138140,25248,105865571,8947404,112692,4005800,538909,866745021,12598201,128196000,247497113,4779827,9337657,675871,13222694,5560012,818025942,131397,23292,78404,3044400,8522,2011764,10046325,32056510,5764,59034249,554059,1303035,4544164,2496920,147439073,58055,309101650,1393825,394757,269072224,269072224,13275026,669237,2339127,78499,5511,46063228,8684088,4350452,1047344,9580991,5991785,192084649,9852899,198751,253720596,2724100,32682947,32477992,265295652,584092,11382967,10889509,433861577,8132803,152620,281974883,10216604,520400576,2208041898,1878877,1855442,26317783,56307,12385710,269022313,2745000,49911,1708302,577164,50775794,8417702,1210302,8310226,1378998,25410060,7867931,2645674,48417,2596820,22828869,3387383,49100,41900,8550443,426629,19534242,11721,47381,4208676,99995,4449367
8,1968,,,,,6779787,182627,598495,1116788548,109891,191120090,12735486,1187602236,498940,3499362,120739199,120739199,3533536526,5387828,4247558,10539894,10702291,20744000,4013055,55102684,2323619,4864883,3802700,6337,93211,200706000,344176940,90387079,53506196,6001852,1672399,773422,3529843,292045744,97884022,256176,117898,33795194,11464,11937600,70257,4509813,1098154,774510000,77294314,5193,38124,3816486,16478305,2915550,12725522,278734,1163000,3918872,307516657,53254,5311615,679595,4845219,2012000,20942145,4626469,517481,227201434,3675454,2644020,237241,131026912,1044230714,18961,18668,5935860,2264623,32294655,146274765,94927,1704546,88662,48431972,15307273,5771652,137487,6201413,34791409,41193601,149881,101061000,4263927,4014103,1747694,2022272,101035,21890,682102178,682102178,3340422,4960232,1057855221,299413,2560727,2727559890,5434041,1825879,69040,930795,118726,3336927,20235,10637063,6234465,26944390,2351925,233000,8874552,9421,53000,1207104,10606249,835367980,335850,7415403,62521,8836650,5780835,115136178,200653,18913878,20393699,27685,12009000,9468845,356550,55211700,2960000,8413552,3312742,1278385430,2791590,468667429,2750928,81079,2818300,1253760,2210772,1390259908,1331214,2507048456,220575,726307440,2774759,53235750,4365628,4773902,30838302,983685,307900,798413,1224531259,99500,2698168546,221503000,140298,25989,108779924,9260682,116061,4042300,548825,875528057,12729721,128928000,254069201,4941906,9639840,686146,13609982,5725459,824783296,140462,23304,80217,3078850,8631,2071790,10297983,32881848,5744,60918454,565766,1333978,4713135,2556852,151321867,58386,317345562,1434669,406506,275937224,275937224,13663583,680432,2401143,80657,5597,46411810,8740765,4464423,1079580,9618756,6067714,197119436,9876346,201488,260373635,2748100,33113134,33256464,272128513,596947,11603928,11294672,436817143,8321770,158648,283866409,10255815,531513824,2258892461,1958914,1945780,27032571,58388,12611426,275886090,2803000,51134,1744194,632899,51175508,8614447,1242635,8369603,1500163,26015248,7912273,2662064,49363,2656633,23168267,3481624,55700,43400,8841153,438603,19799831,12140,46397,4297517,103342,4483915
9,1969,,,,,6880623,203106,606116,1143088505,112582,196001924,13092852,1216984739,509704,3568398,124023257,124023257,3608235815,5599904,4373124,10910675,11048262,21028000,4084600,56598144,2343173,4891860,3863900,6441,100883,202677000,347963199,92746614,54717039,6097035,1698144,794588,3643237,299473256,98606630,263453,123600,34786305,11618,12214956,72507,4593669,1124579,796025000,77909682,5459,38570,3847707,16772164,2932650,13120580,287891,1191000,4045740,311023409,54376,5465512,700729,4953390,2042500,21496075,4623785,513340,233086769,3717468,2693348,237955,134704201,1073035641,19622,18977,6139048,2334279,32548300,150149071,94728,1713874,89568,49945279,15656843,5803254,140500,6357092,35827092,42307146,154830,103172000,4385927,4133322,1797893,2081695,102597,23058,697706104,697706104,3415576,5071927,1087061065,304000,2637513,2792906650,5528174,1849662,70213,937186,119972,3413904,20766,10893776,6401921,27652709,2413396,240839,8960304,9626,54000,1242214,10813743,844677617,337500,7441055,63550,8757705,5861412,118437195,206043,19459816,20942456,28166,12263000,9625312,363575,55441750,3002000,8561384,3386738,1308816321,2850661,481007784,2840262,82855,2894800,1289522,2250447,1424467769,1345249,2567556274,225325,732494115,2795042,53537950,4391490,4833842,31544266,1005909,304300,812405,1257454897,104000,2763558198,223759000,142581,26703,111758563,9585576,119261,4080300,559626,886061016,12877984,129664000,260716644,5111337,9954410,695745,14010339,5895367,833233832,149887,23346,82040,3107321,8827,2132802,10549399,33703139,5773,62679765,577646,1366502,4897472,2620434,155331570,58726,325676214,1476481,418747,283080084,283080084,14061722,692407,2462928,82927,5670,46749283,8772764,4582198,1112745,9646032,6136387,202329943,9896580,203369,267098365,2772800,33441054,34055390,279037414,611300,11834654,11694847,439658725,8520015,164268,285778637,10298723,543084336,2311898866,2043818,2034907,27764924,60145,12824606,283027719,2877000,52365,1778861,688979,51561836,8816057,1276123,8434172,1617428,26635849,7968072,2684150,50267,2718811,23517611,3576838,60300,44900,9127857,451228,20009141,12574,45534,4389246,106820,4518607
10,1970,,,,,6996576,234514,613618,1170050244,115691,201001375,13459794,1247114277,520562,3643604,127335091,127335091,3683676306,5836389,4499720,11301394,11396393,21324000,4154605,58142060,2359164,4928757,3959000,6552,109514,205052000,351616528,95113265,55982144,6193384,1720800,817469,3757358,306916896,99134548,268627,129529,35803594,11811,12485740,74564,4676230,1150750,818315000,78169289,5712,39009,3875763,17073346,2957250,13535481,297316,1219000,4179067,314539976,55425,5621792,723851,5063809,2074507,22069776,4606307,512407,239204902,3760529,2744891,238896,138473064,1102743566,20395,19221,6350541,2406513,32664300,154125870,94475,1724891,90509,51493565,16004731,5890365,143149,6519762,36884536,43404793,160250,104345000,4510644,4257505,1847394,2135479,104015,24276,713711349,713711349,3494004,5180023,1117169518,303982,2716654,2859823273,5624600,1875642,71073,945360,121197,3479074,21266,11173642,6576305,28415077,2474763,246194,9040000,9827,55000,1278825,11029142,853011324,339171,7467086,64177,8680431,5949045,121785650,212605,20011036,21480065,28606,12507000,9783134,367931,55663250,3044000,8712541,3444568,1339919001,2912340,493473814,2930107,84351,2959900,1326885,2297434,1459613363,1360076,2629663607,230054,738123474,2809793,53821850,4412252,4893454,32240827,1028926,302650,826000,1290384064,112000,2830664982,226431000,144739,27363,114793178,9917983,122182,4119900,571565,895585273,13038526,130404000,267436459,5289303,10281700,704934,14410400,6069376,840763997,159659,23484,83877,3139689,9144,2195175,10804131,34513850,5841,64232482,589314,1400730,5102064,2688428,159468637,59063,334005177,1519285,431253,290526189,290526189,14464985,704939,2525068,85377,5735,47088857,8792806,4703782,1146780,9655549,6180877,207714294,9858071,204438,273890550,2810700,33814531,34876303,286027166,627715,12074626,12080317,441986158,8735495,169377,287338845,10337910,555189792,2366349459,2133526,2115522,28513866,61417,13036139,290472589,2974000,53600,1811144,744450,51957738,9022741,1310945,8489574,1721323,27269069,8042801,2718000,51151,2783121,23880561,3673068,63476,46400,9405600,464410,20250398,12994,44883,4484004,110495,4538223
11,1971,,,,,7139647,277471,620859,1197695284,119302,206110337,13836367,1277990369,531635,3726189,130670746,130670746,3761307048,6100626,4627210,11713048,11745945,21962032,4223051,59734481,2376389,4963126,4045300,6678,119414,207661000,355267605,97482920,57296983,6290365,1739521,842354,3871439,314344629,99635258,271309,135671,36849675,12053,12747821,76347,4757182,1176591,841105000,78312842,5944,39458,3903039,17384861,2992050,13971695,306955,1247000,4319224,318052830,56359,5780480,748968,5176295,2112900,22665271,4612124,515449,245537549,3805287,2798724,240094,142307879,1133088651,21313,19389,6570857,2481341,32783500,158184120,94221,1738335,91491,53076373,16350881,6040777,145413,6689662,37963278,44484035,166162,105697000,4637988,4387540,1896077,2187853,105247,25559,730107637,730107637,3575900,5284531,1147914103,298846,2798123,2928162561,5723381,1904276,71568,955741,122413,3529997,21728,11475445,6757850,29248643,2535873,248738,9115576,10017,54600,1317050,11255183,862109111,342421,7500482,64357,8643756,6044530,125164745,220312,20564067,22003980,29006,12937000,9942727,369236,55896223,3087000,8868083,3472367,1371557517,2976572,506035718,3020413,85499,3022300,1365899,2354047,1495392316,1376955,2693087600,234644,743747729,2818281,54073490,4431275,4953087,32882704,1052614,302700,839230,1324084715,120000,2899197937,229677632,147389,27984,117880144,10255850,124793,4163000,585251,906059367,13194497,131155000,274223248,5476982,10621472,713684,14809521,6247418,849163942,169372,23721,85726,3179041,9580,2258965,11062433,35311910,5971,65531633,600613,1436738,5328744,2762265,163727802,59440,342307916,1563093,443977,298284068,298284068,14872250,718364,2587708,88010,5766,47435010,8831036,4829090,1181674,9673162,6213399,213272637,9826815,206098,280743854,2853000,34224490,35720599,293097388,646347,12323982,12446443,444288192,8973244,173889,288923420,10367537,567868018,2422126843,2228146,2185662,29281591,62082,13250213,298229373,3069000,54695,1840518,798642,52371342,9232655,1347176,8536395,1809182,27913750,8098334,2762190,51980,2849532,24259561,3770059,70937,47200,9671860,478116,20461567,13429,44490,4581740,114382,4557449
